user_id,compliment,count,compliment_id
---2PmXbF47D870stH1jqA,cool,180,COM2
---2PmXbF47D870stH1jqA,funny,20,COM3
---2PmXbF47D870stH1jqA,useful,315,COM4
--b3mG8vBmMthLCXX6jwjg,useful,4,COM8
-0-ABwLCZyH38THNiRf4IA,funny,1,COM15
-07OXLi5R1Q5xnsTbigROQ,cool,1,COM18
-0UVXweNi2S2-DKJVJhrQA,funny,1,COM27
-0UVXweNi2S2-DKJVJhrQA,useful,1,COM28
-2UC8Zxln1r4WpY4NIw9zw,useful,2,COM36
-2g664plRlHuUOFSECdG9A,useful,2,COM44
-2idQbwlpcf_-egRwNIObg,cool,5,COM46
-2idQbwlpcf_-egRwNIObg,funny,3,COM47
-2idQbwlpcf_-egRwNIObg,useful,11,COM48
-3FxNo0fleH_24gHZ_j29A,cool,4,COM50
-3FxNo0fleH_24gHZ_j29A,funny,2,COM51
-3FxNo0fleH_24gHZ_j29A,useful,28,COM52
-3dgUxg5GJEE5dWl947SzQ,useful,2,COM56
-3qm-liBz1MybIgqowoeNA,funny,1,COM59
-3qm-liBz1MybIgqowoeNA,useful,3,COM60
-49VO6EnRppS5vehdRJmJQ,cool,15,COM62
-49VO6EnRppS5vehdRJmJQ,funny,15,COM63
-49VO6EnRppS5vehdRJmJQ,useful,63,COM64
-4vkTh2rImD8c0-30h2uvw,cool,149,COM66
-4vkTh2rImD8c0-30h2uvw,funny,38,COM67
-4vkTh2rImD8c0-30h2uvw,useful,219,COM68
-544YIH1jK4ZpVGbWz1JJQ,cool,22,COM74
-544YIH1jK4ZpVGbWz1JJQ,funny,10,COM75
-544YIH1jK4ZpVGbWz1JJQ,useful,71,COM76
-5Slg5hO3useiypXYgZkGg,compliment_profile,1,COM81
-5Slg5hO3useiypXYgZkGg,cool,55,COM82
-5Slg5hO3useiypXYgZkGg,funny,21,COM83
-5Slg5hO3useiypXYgZkGg,useful,66,COM84
-5d5U2LOneW8OneWQ9z0uA,cool,1,COM90
-5d5U2LOneW8OneWQ9z0uA,useful,2,COM92
-5dioBSd667fd70-QGlPBQ,useful,7,COM96
-5jcmyUaZZ5i5Q9MEh2itw,funny,2,COM99
-6Fk7QmNWJDaDKwwcgS8PQ,cool,113,COM106
-6Fk7QmNWJDaDKwwcgS8PQ,funny,38,COM107
-6Fk7QmNWJDaDKwwcgS8PQ,useful,163,COM108
-6Hn6Qqxnf8EX9oRcomOng,cool,1,COM110
-6Hn6Qqxnf8EX9oRcomOng,useful,12,COM112
-6YHxNhkE2hcT-YGVqjI0Q,compliment_profile,4,COM113
-6YHxNhkE2hcT-YGVqjI0Q,cool,57,COM114
-6YHxNhkE2hcT-YGVqjI0Q,funny,31,COM115
-6YHxNhkE2hcT-YGVqjI0Q,useful,112,COM116
-6_36wpBrzWYEqf_fd80jA,useful,1,COM120
-71P2zgHQ1GtUTLyu8gPDg,cool,3,COM126
-71P2zgHQ1GtUTLyu8gPDg,funny,3,COM127
-71P2zgHQ1GtUTLyu8gPDg,useful,7,COM128
-77PfJbJu19Bil1R0YqcRw,cool,3,COM130
-77PfJbJu19Bil1R0YqcRw,funny,1,COM131
-77PfJbJu19Bil1R0YqcRw,useful,19,COM132
-7MCR4bw5i69END2E8JZ4A,cool,1,COM138
-7MCR4bw5i69END2E8JZ4A,useful,19,COM140
-7RhrWVn56B93CF9RnK1sw,cool,1,COM142
-7RhrWVn56B93CF9RnK1sw,funny,20,COM143
-7RhrWVn56B93CF9RnK1sw,useful,1,COM144
-7lE8YC33BYcu8UQ-BjoXw,useful,2,COM148
-7lnZSIDtGid2xkwTGtq-w,funny,4,COM151
-7lnZSIDtGid2xkwTGtq-w,useful,5,COM152
-8Y5jfqqukyFpnLIOhqOEQ,cool,6,COM154
-8Y5jfqqukyFpnLIOhqOEQ,funny,6,COM155
-8Y5jfqqukyFpnLIOhqOEQ,useful,26,COM156
-9JVii1VAcYgN0mcS9D3Pg,funny,1,COM159
