hours,open_hours_id
"{'Tuesday': '9:30-19:0', 'Wednesday': '9:30-19:0', 'Thursday': '9:30-19:0', 'Friday': '9:30-19:0', 'Saturday': '9:30-19:0', 'Sunday': '10:0-17:0'}",a1
"{'Monday': '9:30-19:0', 'Wednesday': '9:30-19:0', 'Thursday': '9:30-19:0', 'Friday': '9:30-19:0', 'Saturday': '9:30-19:0', 'Sunday': '11:0-17:0'}",a2
"{'Monday': '0:0-0:0', 'Tuesday': '8:0-16:0', 'Wednesday': '9:0-18:0', 'Thursday': '9:0-19:0', 'Friday': '9:0-19:0', 'Saturday': '9:0-19:0', 'Sunday': '11:0-17:0'}",a3
"{'Monday': '0:0-0:0', 'Tuesday': '9:0-20:0', 'Wednesday': '9:0-20:0', 'Thursday': '9:0-20:0', 'Friday': '9:0-19:0', 'Saturday': '9:0-17:0'}",a4
"{'Tuesday': '12:0-20:0', 'Wednesday': '12:0-20:0', 'Thursday': '12:0-20:0', 'Friday': '10:0-18:0', 'Saturday': '9:0-17:0'}",a5
"{'Tuesday': '9:0-19:30', 'Wednesday': '9:0-19:30', 'Thursday': '9:0-19:30', 'Friday': '9:0-18:0', 'Saturday': '9:0-17:0'}",a6
"{'Monday': '9:0-19:0', 'Tuesday': '9:0-19:0', 'Wednesday': '9:0-19:0', 'Thursday': '9:0-19:0', 'Friday': '9:0-19:0', 'Saturday': '9:0-18:0'}",a7
"{'Tuesday': '9:0-20:0', 'Wednesday': '9:0-20:0', 'Thursday': '9:0-20:0', 'Friday': '9:0-19:0', 'Saturday': '9:0-17:0'}",a8
"{'Monday': '8:0-20:0', 'Tuesday': '8:0-20:0', 'Wednesday': '8:0-20:0', 'Thursday': '8:0-20:0', 'Friday': '8:0-20:0', 'Saturday': '8:0-20:0', 'Sunday': '8:0-17:0'}",a9
"{'Monday': '0:0-0:0', 'Tuesday': '9:30-17:30', 'Wednesday': '9:30-17:30', 'Thursday': '9:30-17:30', 'Friday': '9:30-17:30', 'Saturday': '10:0-14:0'}",a10
"{'Monday': '10:0-21:0', 'Tuesday': '10:0-21:0', 'Wednesday': '10:0-21:0', 'Thursday': '10:0-21:0', 'Friday': '10:0-21:0', 'Saturday': '10:0-21:0', 'Sunday': '12:0-19:0'}",a11
"{'Monday': '9:0-19:30', 'Tuesday': '9:0-19:30', 'Wednesday': '9:0-19:30', 'Thursday': '9:0-19:30', 'Friday': '9:0-19:30', 'Saturday': '9:0-19:30', 'Sunday': '11:0-17:0'}",a12
"{'Monday': '10:0-18:30', 'Tuesday': '10:0-18:30', 'Wednesday': '10:0-18:30', 'Thursday': '10:0-18:30', 'Friday': '9:30-18:0', 'Saturday': '9:30-18:0'}",a13
"{'Monday': '0:0-0:0', 'Tuesday': '9:30-19:30', 'Wednesday': '9:30-19:30', 'Thursday': '9:30-19:30', 'Friday': '9:30-19:30', 'Saturday': '9:0-18:0', 'Sunday': '11:0-17:0'}",a14
"{'Monday': '0:0-0:0', 'Tuesday': '9:30-19:30', 'Wednesday': '9:30-19:30', 'Thursday': '9:30-19:30', 'Friday': '9:30-19:30', 'Saturday': '9:30-18:30', 'Sunday': '11:0-17:0'}",a15
"{'Monday': '0:0-0:0', 'Tuesday': '9:30-19:0', 'Wednesday': '9:30-19:0', 'Thursday': '9:30-19:0', 'Friday': '9:30-18:0', 'Saturday': '9:30-19:0', 'Sunday': '11:0-17:0'}",a16
"{'Monday': '9:0-19:30', 'Tuesday': '9:0-19:30', 'Wednesday': '9:0-19:30', 'Thursday': '9:0-19:30', 'Friday': '9:0-19:30', 'Saturday': '9:0-19:30', 'Sunday': '11:0-16:30'}",a17
"{'Monday': '9:30-19:0', 'Tuesday': '9:30-19:0', 'Wednesday': '9:30-19:0', 'Thursday': '9:30-19:0', 'Friday': '9:30-19:0', 'Saturday': '9:30-18:0'}",a18
"{'Monday': '9:0-19:0', 'Tuesday': '9:0-19:0', 'Wednesday': '9:0-19:0', 'Thursday': '9:0-19:0', 'Friday': '9:0-19:0', 'Saturday': '9:0-19:0'}",a19
"{'Monday': '9:0-20:0', 'Tuesday': '9:0-20:0', 'Wednesday': '9:0-20:0', 'Thursday': '9:0-20:0', 'Friday': '9:0-20:0', 'Saturday': '9:0-20:0', 'Sunday': '11:0-17:0'}",a20
"{'Monday': '10:0-21:0', 'Tuesday': '10:0-21:0', 'Wednesday': '10:0-21:0', 'Thursday': '10:0-21:0', 'Friday': '10:0-21:0', 'Saturday': '10:0-21:0', 'Sunday': '11:0-18:0'}",a21
"{'Monday': '9:0-19:0', 'Tuesday': '9:0-19:0', 'Wednesday': '9:0-19:0', 'Thursday': '9:0-19:0', 'Friday': '9:0-19:0', 'Saturday': '9:0-19:0', 'Sunday': '11:0-17:0'}",a22
"{'Monday': '10:0-19:30', 'Tuesday': '10:0-19:30', 'Wednesday': '10:0-19:30', 'Thursday': '10:0-19:30', 'Friday': '10:0-19:30', 'Saturday': '10:0-18:30', 'Sunday': '11:0-17:0'}",a23
"{'Monday': '0:0-0:0', 'Tuesday': '9:30-19:0', 'Wednesday': '9:30-19:0', 'Thursday': '9:30-19:0', 'Friday': '9:30-19:0', 'Saturday': '9:30-18:30', 'Sunday': '11:0-17:0'}",a24
"{'Monday': '0:0-0:0', 'Tuesday': '10:0-19:0', 'Wednesday': '10:0-19:0', 'Thursday': '10:0-19:0', 'Friday': '10:0-19:0', 'Saturday': '8:0-17:0'}",a25
"{'Monday': '9:30-20:0', 'Tuesday': '9:30-20:0', 'Wednesday': '9:30-20:0', 'Thursday': '9:30-20:0', 'Friday': '9:30-20:0', 'Saturday': '9:30-20:0', 'Sunday': '10:0-18:0'}",a26
"{'Monday': '9:30-19:30', 'Tuesday': '9:30-19:30', 'Wednesday': '9:30-19:30', 'Thursday': '9:30-19:30', 'Friday': '9:30-19:30', 'Saturday': '9:0-19:0', 'Sunday': '11:0-17:0'}",a27
"{'Monday': '0:0-0:0', 'Tuesday': '9:30-18:30', 'Wednesday': '9:30-18:30', 'Thursday': '9:30-18:30', 'Friday': '9:30-18:30', 'Saturday': '9:30-18:0', 'Sunday': '0:0-0:30'}",a28
"{'Monday': '10:0-19:30', 'Wednesday': '10:0-19:30', 'Thursday': '10:0-19:30', 'Friday': '10:0-19:30', 'Saturday': '10:0-19:30', 'Sunday': '11:0-16:0'}",a29
"{'Monday': '9:30-19:30', 'Tuesday': '9:30-19:30', 'Wednesday': '9:30-19:30', 'Thursday': '9:30-19:30', 'Friday': '9:30-19:30', 'Saturday': '9:30-19:30', 'Sunday': '11:0-17:0'}",a30
"{'Monday': '0:0-0:0', 'Tuesday': '9:0-17:0', 'Wednesday': '9:0-18:0', 'Thursday': '12:0-20:0', 'Friday': '12:0-20:0', 'Saturday': '9:0-18:0'}",a31
"{'Monday': '7:0-20:0', 'Tuesday': '7:0-20:0', 'Wednesday': '7:0-20:0', 'Thursday': '7:0-20:0', 'Friday': '7:0-20:0', 'Saturday': '7:0-20:0'}",a32
"{'Monday': '9:30-19:30', 'Tuesday': '9:30-19:30', 'Wednesday': '9:30-19:30', 'Thursday': '9:30-19:30', 'Friday': '9:30-19:30', 'Saturday': '9:0-18:30', 'Sunday': '11:0-17:0'}",a33
"{'Monday': '10:0-19:30', 'Tuesday': '10:0-19:30', 'Wednesday': '10:0-19:30', 'Thursday': '10:0-19:30', 'Friday': '10:0-19:30', 'Saturday': '9:0-19:0', 'Sunday': '11:0-16:30'}",a34
"{'Monday': '10:0-20:0', 'Tuesday': '10:0-20:0', 'Wednesday': '10:0-20:0', 'Thursday': '10:0-20:0', 'Friday': '10:0-20:0', 'Saturday': '10:0-20:0', 'Sunday': '11:0-17:0'}",a35
"{'Monday': '10:0-19:0', 'Tuesday': '10:0-19:0', 'Wednesday': '10:0-19:0', 'Thursday': '10:0-19:0', 'Friday': '10:0-19:0', 'Saturday': '10:0-18:0', 'Sunday': '11:0-16:0'}",a36
"{'Monday': '9:30-19:30', 'Tuesday': '9:30-19:30', 'Wednesday': '9:30-19:30', 'Thursday': '9:30-19:30', 'Friday': '9:30-19:30', 'Saturday': '9:30-19:30', 'Sunday': '10:0-16:0'}",a37
"{'Monday': '9:30-19:0', 'Tuesday': '9:30-19:0', 'Wednesday': '9:30-19:0', 'Thursday': '9:30-19:0', 'Friday': '9:30-19:0', 'Saturday': '9:30-19:0', 'Sunday': '11:0-17:0'}",a38
"{'Tuesday': '9:0-19:0', 'Wednesday': '9:0-19:0', 'Thursday': '9:0-19:0', 'Friday': '9:0-19:0', 'Saturday': '9:0-19:0', 'Sunday': '10:0-17:30'}",a39
"{'Monday': '9:30-12:0', 'Tuesday': '10:0-19:0', 'Wednesday': '10:0-19:0', 'Thursday': '10:0-19:0', 'Friday': '10:0-19:0', 'Saturday': '10:0-19:0', 'Sunday': '11:0-16:0'}",a40
"{'Monday': '9:30-19:0', 'Tuesday': '9:30-19:0', 'Wednesday': '9:30-19:0', 'Thursday': '9:30-19:0', 'Friday': '9:30-19:0', 'Saturday': '9:30-19:0', 'Sunday': '11:0-16:0'}",a41
"{'Monday': '10:0-19:0', 'Tuesday': '10:0-19:0', 'Wednesday': '10:0-19:0', 'Thursday': '10:0-19:0', 'Friday': '10:0-20:0', 'Saturday': '10:0-19:0', 'Sunday': '11:0-18:0'}",a42
"{'Monday': '9:30-19:30', 'Tuesday': '9:30-19:30', 'Wednesday': '9:30-19:30', 'Thursday': '9:30-19:30', 'Friday': '9:30-19:30', 'Saturday': '9:0-19:0'}",a43
"{'Monday': '9:0-20:0', 'Tuesday': '9:0-20:0', 'Wednesday': '9:0-20:0', 'Thursday': '9:0-20:0', 'Friday': '9:0-20:0', 'Saturday': '9:0-20:0', 'Sunday': '11:0-18:0'}",a44
"{'Monday': '10:30-19:30', 'Tuesday': '10:30-19:30', 'Wednesday': '10:30-19:30', 'Thursday': '10:30-19:30', 'Friday': '9:0-20:30', 'Saturday': '9:0-20:30'}",a45
"{'Monday': '10:0-18:0', 'Tuesday': '10:0-18:0', 'Wednesday': '10:0-18:0', 'Thursday': '10:0-18:0', 'Friday': '10:0-18:0', 'Saturday': '10:30-17:0', 'Sunday': '10:30-17:0'}",a46
"{'Monday': '0:0-0:0', 'Tuesday': '9:30-19:0', 'Wednesday': '9:30-19:0', 'Thursday': '9:30-19:0', 'Friday': '9:30-19:0', 'Saturday': '9:30-18:0'}",a47
"{'Tuesday': '10:0-19:0', 'Wednesday': '10:0-17:0', 'Thursday': '10:0-19:0', 'Friday': '10:0-17:0', 'Saturday': '9:0-15:0'}",a48
"{'Monday': '10:0-18:0', 'Tuesday': '10:0-18:0', 'Wednesday': '10:0-18:0', 'Thursday': '10:0-18:0', 'Friday': '10:0-18:0', 'Saturday': '10:0-17:0', 'Sunday': '10:0-16:0'}",a49
"{'Monday': '0:0-0:0', 'Tuesday': '9:0-20:0', 'Wednesday': '9:0-19:0', 'Thursday': '9:0-20:0', 'Friday': '9:0-20:0', 'Saturday': '9:0-19:0'}",a50
"{'Monday': '9:30-19:30', 'Tuesday': '9:30-19:30', 'Wednesday': '9:30-19:30', 'Thursday': '9:30-19:30', 'Friday': '9:30-19:30', 'Saturday': '9:30-19:30'}",a51
"{'Monday': '10:0-19:30', 'Tuesday': '10:0-19:30', 'Wednesday': '10:0-19:30', 'Thursday': '10:0-19:30', 'Friday': '10:0-19:30', 'Saturday': '10:0-19:30'}",a52
"{'Tuesday': '9:0-19:0', 'Wednesday': '9:0-19:0', 'Thursday': '9:0-19:0', 'Friday': '9:0-19:0', 'Saturday': '9:0-16:0'}",a53
"{'Monday': '9:0-19:0', 'Tuesday': '9:0-19:0', 'Wednesday': '9:0-19:0', 'Thursday': '9:0-19:0', 'Friday': '9:0-19:0', 'Saturday': '9:0-19:0', 'Sunday': '10:0-17:0'}",a54
"{'Monday': '9:30-19:0', 'Tuesday': '9:30-19:0', 'Wednesday': '9:30-19:0', 'Thursday': '9:30-19:0', 'Friday': '9:30-19:0', 'Saturday': '9:30-18:0', 'Sunday': '11:0-16:0'}",a55
"{'Monday': '9:30-19:30', 'Tuesday': '9:30-19:30', 'Wednesday': '9:30-19:30', 'Thursday': '9:30-19:30', 'Friday': '9:30-19:30', 'Saturday': '9:30-19:30', 'Sunday': '12:0-17:0'}",a56
