user_id,name,review_count,fans
j4cmflYbwAktOxZ_iiJCOQ,Danielle,236,44
xnt4VgRYCyt1YI522IrpcA,Allison,5,0
pou3BbKsIozfH50rxmnMew,Brett,2812,914
xUtEz47jIl-v34swwmjTZw,Tara,28,2
3ywXGq4PyUoR_XXDvK_RIA,Toni,729,77
rTJ3EecGoQNbfFj7mqjDmw,Elizabeth,529,37
G6uiBIcMc21mxtIsR6K_3w,Irene,486,106
2ZI7f2CRul38wb_1X1lR7g,Talisha,636,25
6WO37S7VmuAojpNwH0d8pw,Kali-Carmella,3,1
PsXhJHX255QM8FRw-dvh-w,Philay,98,6
n1pp7Kqj9p9HQACdbabkFQ,Christine,567,70
sh3V6hnNMLVV9YwFA9QNaw,Virginia,895,61
kGqyCRaiWj0j6U2Trhvolg,Simone,206,7
fLDGqfH_QJE5TN2ajHzNjA,Bridgette,176,29
2iS1vg5TYpV_iEiNC8osTg,Peter,1672,65
5R3m-2idPFpYq0oRwCK0TQ,Krystle,286,36
UG-youCyFG_PhFIq1IcWAw,Amanda,20,5
s7cUp9ma9h9FYN-fa0FtgA,Mary,483,41
tNzsN_B6skDGIbMnVkpzcQ,Phil,51,15
lU_alQOUlNoUZBbTBtfpFA,Virginia,26,2
-49VO6EnRppS5vehdRJmJQ,Mariam,31,0
O3nhfuz6W4wlmIQgM_Oo2g,Tiff,2221,353
m7y36VHp_UTqAdSR_2DNJw,Samantha,207,7
CYtKqfxO78q8MN6HX2JnDg,Jamie,491,59
HtewfIDJCsL3b4AY0Ukefg,Angus,238,35
iUjBfJdGBZ8b76Gf_f7jSQ,Poch,28,1
0CL7ncIULe96NbkFCMi6cQ,Carolyn,67,9
Nxr5C4m0edwetAeRUacP6A,Christopher,614,29
XKJTyp7H0qpU_8IorWo9jw,Denise,24,1
bsG-AXDSb0_wbKH4rp4uXA,Tiffany,50,3
KXVZqQdcVpa-ZaIdrDpQPQ,Courtney,816,70
IKbjLnfBQtEyVzEu8CuOLg,Erica,800,64
3p0DtqP2Px5tFpwHZeMJmw,Neen,188,11
Zn8tgekH0oCfyk4SUtygoA,Dave,1635,177
t9Qrz3zLtOnlmEeKfDCtFA,Tracy,198,32
L9ZJpCQgXzfNXiJI9ahyZw,Samantha,1042,119
xFoNdQVA8dHxd_mZBFA6Pw,Victoria,205,26
CfHKItb0j43Cm6e6L6hhcw,Ron,106,7
mVA4IeYyVKPUWRrN5oplMA,Nat,2715,126
xBvaQwMU9Gsh3SYBa6CTWQ,Jennifer,276,18
5NY29yfnYeLMvcMx7TRBXw,Ariela,28,0
qjfMBIZpQT9DDtw_BWCopQ,Rachel,2331,278
1p4qUDvqd-L7ZHGVJc-fsQ,Lisa,42,4
IOKgLAJw-78aJoEeNbFlvQ,Roshelle,40,0
UN96iuwF3MOGI8srZyK7lg,Shari,16,0
D2wWsR58zfPJP1kk3zK0Yg,Cassie,558,54
nR9klq6eOdBuA_cSZW3HqQ,Julie,114,5
WNsAImC1ioixNP_2lOAZ4Q,Ryan,69,3
akUC5qP68u0_frTwHLl61w,Stephanie,606,17
RSiAjwwTz0giMP3MFlh6cw,Beth,49,0
UcbWBh4PCXCkZjMZs22c9Q,Pam,66,0
06EqUxXTBeJkVjblcV2xNw,Nicole,21,1
Um5bfs5DH6eizgjH3xZsvg,Dianna,3322,203
LRtIiDOWqOw62wNDvpiSNg,Sabine,292,21
0QAA-pBx8GUKDfNTFMilGg,April,43,3
BJNxQGG3dx5uLxINGA5kDg,James,244,41
vffKQc_WQMYFGY4JS5VAOw,michelle,1191,68
8GkqY7KeV-JqAB2dBj2m1g,Raul,62,1
ZhswCS-i9dmeDuKf70sc1w,Natalie,71,3
Xn1oFBaCjjxhG_QLoiCUlw,Eve,22,0
nLA8xOLGSCmOJC4GaTadEQ,Lee,78,1
the52iBr5PCJahoGPITZBw,Misty,156,30
rWGCN2pRLRpcybVn8825_Q,Magdalini,75,1
RTQlPtMr4zQKo_qvsY61sg,Alicia,15,0
qeaY4gmjjAMlkB6y0RJJjw,Cassandra,35,2
vENFxTIJyPK7mXpJgJxnMg,Kika,12,1
vALpp2IgoeeyiRoH1qRMuQ,Melony,666,165
802Wrbf7_fZ6aBZQKelc4A,Holly,39,3
pRwSr0-jI-OkflYkRdKfBQ,Diane,641,19
t85b2OBlHk0GCwYLhhFlmw,Jill,25,0
sa7I1ZROWTfunqi4bLAUgw,Megan,112,7
CIr5Br387yZGV7JU4WqbYQ,Erica,55,3
p2EDlpTnhPiCIkQVrSuGLw,Jennifer,12,0
9Kr8dO1U7-52UVrhD-nXXw,Ciji,24,2
mGUYWSFpmVvDQTLDvkzk4w,Debi,148,3
LzQekJ42ypri_tGH_0sjtA,Elen,32,0
rTOLj63bMRn9ragmfMzOeA,Charlie,482,47
WUgxsRUFjATha8L4qWYDww,Glenn,696,31
qiYB7TorQIlYLSNQCORK6A,Kristen,563,26
PJBF-bqE7Qa35LsV1unUmA,Shelley,276,11
muQYgWSZz3LwzuKYD4OwkQ,Suzi,86,8
5p_PfIwR1tkSwG1GMEQFTQ,Tara,59,1
Qv0VgDsuU0VitzCF15jadQ,Jennifer,13,0
bfpdkDQfWjWoJRAsbtfATQ,Alicia,566,101
S2ljhPVQb8wxIN98j0Stcw,Vanessa,34,4
6TaJ-5WZSw4h7vbxgRakCg,Abby,18,0
K81DSGPsflFdbyXFAytisQ,Cathie,173,2
BhetfbS0jjIcrTwH7aScNQ,Eva,213,2
ZJsPZP3W1iufUneYF0sfWA,Rashonna,264,10
CaVEy7kpASLwNBGymLwhgw,Crystal,603,76
bQUHcm-woK4VmHybC04Zjw,Jodi,141,2
c2I-wuSbWhtxmKj0lKTgxQ,Shellie,671,65
fen9BWC39ul9SJZfQ-onpg,Mel,450,93
_HHcw4AlCmdkjWgBDsZFwg,Bethany,88,5
1vkZELGAXYHmTZa6krJB9g,Annie,86,3
uKKlENg7gUHID4OLbzMuGQ,Tracey,145,6
mDvmjD2h-rMulOEpVN8Z1w,Erin Elizabeth,67,2
Wn0Mb_yEy9qvS9TRmXvOCQ,Brittany,78,1
OdEaOuyA6bI_0cErziGAKg,Saron,267,23
1sA4O76JHK6c0_mhiidX3g,A,111,1
ea3HFxRRo4gZOmlDle8IPA,Sanita,501,53
QSNzozwTwY9UU3QNvf-3jA,Ali,701,57
