business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,hours,source
0x80dcddb51e362a2f:0xea0942477ad212a6,City nails and spa,"City nails and spa, 4250 Barranca Pkwy n1, Irvine, CA 92604", Irvine,California,92604,33.6812785,-117.8049612,4.2,48,"[['Tuesday', '9:30AM–7PM'], ['Wednesday', '9:30AM–7PM'], ['Thursday', '9:30AM–7PM'], ['Friday', '9:30AM–7PM'], ['Saturday', '9:30AM–6PM'], ['Sunday', '10AM–4PM'], ['Monday', '9:30AM–7PM']]",G
0x8830f12316ab98f5:0xaeb4263777ba0bb,Gaia Nail Lounge & Spa,"Gaia Nail Lounge & Spa, 1870 W 25th St, Cleveland, OH 44113", Cleveland,Ohio,44113,41.4856451,-81.7049808,4.3,58,"[['Tuesday', '11AM–8PM'], ['Wednesday', '11AM–8PM'], ['Thursday', '11AM–8PM'], ['Friday', '11AM–8PM'], ['Saturday', '11AM–6PM'], ['Sunday', 'Closed'], ['Monday', '11AM–8PM']]",G
0x8830fbcda1e07e15:0xf8eb2508d7fd545c,Styles of Success | Hair Salon,"Styles of Success | Hair Salon, 6524 St Clair Ave., Cleveland, OH 44103", Cleveland,Ohio,44103,41.525441,-81.644494,4.6,147,"[['Tuesday', '10AM–6PM'], ['Wednesday', '10AM–6PM'], ['Thursday', '9AM–6PM'], ['Friday', '9AM–6PM'], ['Saturday', '8AM–6PM'], ['Sunday', 'Closed'], ['Monday', 'Closed']]",G
0x8830fdbd99eef30f:0xb69e407e123502d9,Square One Nails,"Square One Nails, 13915 Cedar Rd, South Euclid, OH 44118", South Euclid,Ohio,44118,41.5023573,-81.53928959999999,2.9,118,"[['Tuesday', '10AM–7PM'], ['Wednesday', '10AM–7PM'], ['Thursday', '10AM–7PM'], ['Friday', '10AM–7PM'], ['Saturday', '10AM–7PM'], ['Sunday', '12–5PM'], ['Monday', '10AM–7PM']]",G
0x8830fba741e5d0b1:0x626c4c7ba05e498f,Studio S,"Studio S, 850 Euclid Ave #320, Cleveland, OH 44114", Cleveland,Ohio,44114,41.4998135,-81.68709779999999,4.6,36,"[['Tuesday', 'Closed'], ['Wednesday', 'Closed'], ['Thursday', '9AM–12AM'], ['Friday', '9AM–6PM'], ['Saturday', '9AM–4PM'], ['Sunday', 'Closed'], ['Monday', 'Closed']]",G
0x88e0aa57e38e58b7:0x81502dbe78ccc409,EXPERT NAILS,"EXPERT NAILS, 2301 FL-524 #140, Cocoa, FL 32926", Cocoa,Florida,32926,28.3954359,-80.7642912,4.2,102,"[['Tuesday', '9AM–7PM'], ['Wednesday', '9AM–7PM'], ['Thursday', '9AM–7PM'], ['Friday', '9AM–7PM'], ['Saturday', '9AM–7PM'], ['Sunday', 'Closed'], ['Monday', '9AM–7PM']]",G
0x8811e1562abc933d:0xd52dd2a50eaa2298,Nancy Spa Nails,"Nancy Spa Nails, 1525 US-41 unit c ""-32, Schererville, IN 46375", Schererville,Indiana,46375,41.4935066,-87.46791619999999,3.5,126,"[['Tuesday', '9AM–7:30PM'], ['Wednesday', '9AM–7:30PM'], ['Thursday', '9AM–7:30PM'], ['Friday', '9AM–7:30PM'], ['Saturday', '9AM–7:30PM'], ['Sunday', '11AM–4PM'], ['Monday', '9AM–7:30PM']]",G
0x88f538def77b3b85:0x7995758f19c13d92,Elegant Nails,"Elegant Nails, 5340 Brookstone Dr NW #110, Acworth, GA 30101", Acworth,Georgia,30101,33.9986322,-84.7078433,4.2,48,"[['Tuesday', '9:30AM–7:30PM'], ['Wednesday', '9:30AM–7:30PM'], ['Thursday', '9:30AM–7:30PM'], ['Friday', '9:30AM–7:30PM'], ['Saturday', '9AM–6:30PM'], ['Sunday', '11AM–5:30PM'], ['Monday', 'Closed']]",G
0x8640acd4354d5095:0x88bd1a146951c46c,Nails Of America,"Nails Of America, 4545 Kingwood Dr, Humble, TX 77345", Humble,Texas,77345,30.0526882,-95.1822551,4.2,47,,G
0x89c3f3e7bdacbf89:0x82786a49fa50fbed,L'amitie Nails & Spa,"L'amitie Nails & Spa, 144 NJ-31, Flemington, NJ 08822", Flemington,New Jersey,08822,40.5263015,-74.852363,4.2,24,"[['Tuesday', '9:30AM–7PM'], ['Wednesday', '9:30AM–7PM'], ['Thursday', '9:30AM–7PM'], ['Friday', '9:30AM–7PM'], ['Saturday', '9AM–5PM'], ['Sunday', 'Closed'], ['Monday', '9:30AM–7PM']]",G
0x89e766e86c7341b1:0xc7c0d86b1519b42a,Lucky Nails,"Lucky Nails, 344 Stockbridge Rd, Great Barrington, MA 01230", Great Barrington,Massachusetts,01230,42.2101467,-73.3432926,3.6,37,"[['Tuesday', '9AM–7PM'], ['Wednesday', '9AM–7PM'], ['Thursday', '9AM–7PM'], ['Friday', '9AM–7PM'], ['Saturday', '9AM–7PM'], ['Sunday', '9AM–7PM'], ['Monday', '9AM–7PM']]",G
0x88647eb5d30a186d:0x1f188a6a707354c1,"PROSE Nails Franklin, TN","PROSE Nails Franklin, TN, 4031 Aspen Grove Dr Suite 126, Franklin, TN 37067", 4031 Aspen Grove Dr Suite 126,Tennessee,,35.937062,-86.8267003,4.6,18,"[['Tuesday', '10AM–8PM'], ['Wednesday', '10AM–8PM'], ['Thursday', '10AM–8PM'], ['Friday', '10AM–8PM'], ['Saturday', '9AM–6PM'], ['Sunday', '10AM–6PM'], ['Monday', '10AM–8PM']]",G
0x8816ed097cd2dcaf:0xc313036e33ba91b0,Glamour Nails,"Glamour Nails, 2018 Lincolnway E, Goshen, IN 46526", Goshen,Indiana,46526,41.5607394,-85.7932287,3.0,118,,G
0x89e6ddc6c60098d5:0x75ac15b61d17e14,D&N Nail Salon,"D&N Nail Salon, 505 Grattan St, Chicopee, MA 01020", Chicopee,Massachusetts,01020,42.1695884,-72.5954142,4.2,108,"[['Tuesday', '9AM–7:30PM'], ['Wednesday', '9AM–7:30PM'], ['Thursday', '9AM–7:30PM'], ['Friday', '9AM–7:30PM'], ['Saturday', '9AM–7PM'], ['Sunday', '11AM–6PM'], ['Monday', '9AM–7:30PM']]",G
0x89e6e7630e418457:0xfced16058650834f,Princess Nails,"Princess Nails, 1385 Liberty St, Springfield, MA 01104", Springfield,Massachusetts,01104,42.1400221,-72.5811628,4.2,78,"[['Tuesday', '10AM–7PM'], ['Wednesday', '10AM–7PM'], ['Thursday', '10AM–7PM'], ['Friday', '10AM–7PM'], ['Saturday', '10AM–7PM'], ['Sunday', 'Closed'], ['Monday', '10AM–7PM']]",G
0x89c14bc4d0a3493d:0x4cf072e177472c69,Accents Unisex Hair & Nail Sln,"Accents Unisex Hair & Nail Sln, 498 Beverly Rancocas Rd # F, Willingboro, NJ 08046", Willingboro,New Jersey,08046,40.0155601,-74.8887453,4.4,35,"[['Tuesday', '9AM–7PM'], ['Wednesday', '9AM–7PM'], ['Thursday', '9AM–8PM'], ['Friday', '9AM–8PM'], ['Saturday', '9AM–6PM'], ['Sunday', '11AM–4PM'], ['Monday', '9AM–7PM']]",G
0x8752876b14d67587:0x47b885416b84ab5e,Secret Nails Spa Draper,"Secret Nails Spa Draper, 412 E 12300 S, Draper, UT 84020", Draper,Utah,84020,40.5262402,-111.879252,4.1,68,"[['Tuesday', '9:30AM–7PM'], ['Wednesday', '9:30AM–7PM'], ['Thursday', '9:30AM–7PM'], ['Friday', '9:30AM–7PM'], ['Saturday', '9:30AM–7PM'], ['Sunday', 'Closed'], ['Monday', '9:30AM–7PM']]",G
0x89e4d231854b45c9:0x7c0e553b5af65971,Beyond Beauty,"Beyond Beauty, 18 Bates Rd, Mashpee, MA 02649", Mashpee,Massachusetts,02649,41.6192635,-70.4896643,4.5,27,"[['Tuesday', '9AM–6PM'], ['Wednesday', '9AM–7PM'], ['Thursday', '9AM–8PM'], ['Friday', '9AM–6PM'], ['Saturday', '9AM–4PM'], ['Sunday', 'Closed'], ['Monday', '9AM–2PM']]",G
0x8840489898dabfbf:0x62ffa62265584215,Creative Salon and Day Spa,"Creative Salon and Day Spa, 1066 Symmes Rd, Fairfield, OH 45014", Fairfield,Ohio,45014,39.351757,-84.5435902,4.9,18,"[['Tuesday', '10AM–7PM'], ['Wednesday', '10AM–7PM'], ['Thursday', '10AM–7PM'], ['Friday', '10AM–4PM'], ['Saturday', '8AM–3PM'], ['Sunday', 'Closed'], ['Monday', 'Closed']]",G
0x89c2fb9acf7382ef:0x464192dd1392664d,Perfection nails & spa,"Perfection nails & spa, 23-27 Broadway, Fair Lawn, NJ 07410", Fair Lawn,New Jersey,07410,40.9230537,-74.1115785,3.3,78,"[['Tuesday', '10AM–8PM'], ['Wednesday', '10AM–8PM'], ['Thursday', '9AM–8PM'], ['Friday', '9AM–8PM'], ['Saturday', '9AM–8PM'], ['Sunday', '10AM–4PM'], ['Monday', '10AM–8PM']]",G
0x88c2fb8de6faa707:0x994bb5c7c4ac00eb,Diva Nail & Spa,"Diva Nail & Spa, 11226 Park Blvd N, Seminole, FL 33772", Seminole,Florida,33772,27.8400686,-82.7941652,3.7,58,"[['Tuesday', '9:30AM–7PM'], ['Wednesday', '9:30AM–7PM'], ['Thursday', '9:30AM–7PM'], ['Friday', '9:30AM–7PM'], ['Saturday', '9:30AM–7PM'], ['Sunday', '11AM–5PM'], ['Monday', '9:30AM–7PM']]",G
0x88c2fc3ec6d20fa3:0x6f0bf2abaeafc0da,K & a Salon,"K & a Salon, 15227 Gulf Blvd, Madeira Beach, FL 33708", Madeira Beach,Florida,33708,27.8030944,-82.80330699999999,4.6,20,"[['Tuesday', '10AM–6PM'], ['Wednesday', '10AM–6PM'], ['Thursday', '10AM–6PM'], ['Friday', '10AM–6PM'], ['Saturday', '10AM–6PM'], ['Sunday', 'Closed'], ['Monday', '10AM–6PM']]",G
0x87f61b780bc843bf:0x3758196884b99309,Turbo Nails of Chanhassen Inc,"Turbo Nails of Chanhassen Inc, 844 W 78th St, Chanhassen, MN 55317", Chanhassen,Minnesota,55317,44.8635221,-93.5427416,3.9,58,"[['Tuesday', '9AM–8PM'], ['Wednesday', '9AM–8PM'], ['Thursday', '9AM–8PM'], ['Friday', '9AM–8PM'], ['Saturday', '9AM–6PM'], ['Sunday', '11AM–5PM'], ['Monday', '9AM–8PM']]",G
0x87f61b84bb124613:0xa3e9d38d8948d0d4,DS Nails & Spa,"DS Nails & Spa, 568 W 78th St, Chanhassen, MN 55317", Chanhassen,Minnesota,55317,44.8627265,-93.5352305,4.5,58,"[['Tuesday', '10AM–8PM'], ['Wednesday', '10AM–8PM'], ['Thursday', '10AM–8PM'], ['Friday', '10AM–8PM'], ['Saturday', '10AM–6PM'], ['Sunday', '12–5PM'], ['Monday', '10AM–8PM']]",G
0x89b7b7264b0e8621:0x9151a7444886e95,Crystal Towers Hair & Nails,"Crystal Towers Hair & Nails, 1600 S Eads St, Arlington, VA 22202", Arlington,Virginia,22202,38.8583545,-77.05443319999999,4.3,28,"[['Tuesday', '11AM–8PM'], ['Wednesday', '11AM–8PM'], ['Thursday', '11AM–8PM'], ['Friday', '11AM–8PM'], ['Saturday', '9AM–7PM'], ['Sunday', 'Closed'], ['Monday', 'Closed']]",G
0x88310194c998c15d:0x4d6dcac716e6a33c,Nail City,"Nail City, 691 Richmond Rd # C29, Cleveland, OH 44143", Cleveland,Ohio,44143,41.5405719,-81.4939389,3.4,104,"[['Tuesday', '10AM–8PM'], ['Wednesday', '10AM–8PM'], ['Thursday', '10AM–8PM'], ['Friday', '10AM–9PM'], ['Saturday', '10AM–8PM'], ['Sunday', '11AM–5PM'], ['Monday', '10AM–8PM']]",G
0x808566bdf64dca75:0x7e5c0e316fc82876,Spa Nails & Waxing,"Spa Nails & Waxing, 60 Golf Club Rd, Pleasant Hill, CA 94523", Pleasant Hill,California,94523,37.972127,-122.0653625,4.2,68,"[['Tuesday', '9:30AM–7PM'], ['Wednesday', '9:30AM–7PM'], ['Thursday', '9:30AM–7PM'], ['Friday', '9:30AM–7PM'], ['Saturday', '9:30AM–7PM'], ['Sunday', '10AM–6PM'], ['Monday', 'Closed']]",G
0x86249a5845e6d56f:0x67b8054d40b0fc77,Hobby Nails,"Hobby Nails, 201 W Gloria Switch Rd, Lafayette, LA 70507", Lafayette,Louisiana,70507,30.2953803,-92.0291638,4.4,55,"[['Tuesday', '9:30AM–6PM'], ['Wednesday', '9:30AM–6PM'], ['Thursday', '9:30AM–6PM'], ['Friday', '9:30AM–6PM'], ['Saturday', '9:30AM–5PM'], ['Sunday', 'Closed'], ['Monday', '9:30AM–6PM']]",G
0x80c29bddadb65555:0xb0c93e676e635f11,"Nailed It Spa, Inc","Nailed It Spa, Inc, 7223 Tampa Ave, Reseda, CA 91335", 7223 Tampa Ave,California,,34.201805,-118.5538833,4.5,38,"[['Tuesday', '10AM–7PM'], ['Wednesday', '10AM–7PM'], ['Thursday', '10AM–7PM'], ['Friday', '10AM–7PM'], ['Saturday', '10AM–7PM'], ['Sunday', '11AM–6PM'], ['Monday', 'Closed']]",G
0x89acd426e7a2362d:0xe18ecd01b0878cd7,K-Nail,"K-Nail, 1239 S 5th St I, Mebane, NC 27302", Mebane,North Carolina,27302,36.0713121,-79.2940485,3.7,18,"[['Tuesday', '10AM–7:30PM'], ['Wednesday', '10AM–7:30PM'], ['Thursday', '10AM–7:30PM'], ['Friday', '10AM–7:30PM'], ['Saturday', '10AM–7:30PM'], ['Sunday', 'Closed'], ['Monday', '10AM–7:30PM']]",G
0x88c2e2cb4b592aab:0xb5f11aa326ce6531,Kimberly Nails,"Kimberly Nails, 800 Pasadena Ave S A, St. Petersburg, FL 33707", St. Petersburg,Florida,33707,27.7622464,-82.73462409999999,4.7,46,,G
0x89c80dead69cabb7:0xd6fec9de9541ab37,Image Is... Salon,"Image Is... Salon, 2440 Broad Ave, Lutherville-Timonium, MD 21093", Lutherville-Timonium,Maryland,21093,39.4548066,-76.6365641,4.8,118,"[['Tuesday', '10AM–8PM'], ['Wednesday', '10AM–9PM'], ['Thursday', '10AM–9PM'], ['Friday', '9AM–7PM'], ['Saturday', '9AM–5PM'], ['Sunday', '10AM–5PM'], ['Monday', '9AM–8PM']]",G
