attributes_id,business_id,type_attributes_id
at-001,9Rww8yE6Dm4dSMEq09nwXg,t-001
at-002,9Rww8yE6Dm4dSMEq09nwXg,t-002
at-003,9Rww8yE6Dm4dSMEq09nwXg,t-003
at-004,9Rww8yE6Dm4dSMEq09nwXg,t-004
at-005,9Rww8yE6Dm4dSMEq09nwXg,t-005
at-006,my0bmPD5dgDFE1ia__LNlw,t-001
at-007,my0bmPD5dgDFE1ia__LNlw,t-005
at-008,CLEWowfkj-wKYJlQDqT1aw,t-001
at-009,CLEWowfkj-wKYJlQDqT1aw,t-002
at-010,CLEWowfkj-wKYJlQDqT1aw,t-003
at-011,CLEWowfkj-wKYJlQDqT1aw,t-004
at-012,CLEWowfkj-wKYJlQDqT1aw,t-005
at-013,gbetDRjllP5cOxaWxFjGHA,t-005
at-014,FYzZd2mlMIPScy95UY2xkw,t-001
at-015,FYzZd2mlMIPScy95UY2xkw,t-002
at-016,FYzZd2mlMIPScy95UY2xkw,t-003
at-017,FYzZd2mlMIPScy95UY2xkw,t-004
at-018,FYzZd2mlMIPScy95UY2xkw,t-005
at-019,wcppVzRVOFwZp3-Qdwb_TQ,t-001
at-020,wcppVzRVOFwZp3-Qdwb_TQ,t-005
at-021,ZLerfIo2cDSPXJ9K57WYxQ,t-001
at-022,ZLerfIo2cDSPXJ9K57WYxQ,t-002
at-023,ZLerfIo2cDSPXJ9K57WYxQ,t-003
at-024,ZLerfIo2cDSPXJ9K57WYxQ,t-005
at-025,EDODTmZbECNOErpUFgYk9Q,t-001
at-026,EDODTmZbECNOErpUFgYk9Q,t-005
at-027,8UDUCZcdrAL43UaaQWHQ6w,t-001
at-028,8UDUCZcdrAL43UaaQWHQ6w,t-003
at-029,8UDUCZcdrAL43UaaQWHQ6w,t-005
at-030,XUTboDILPqOYaEfR6yuPww,t-001
at-031,XUTboDILPqOYaEfR6yuPww,t-002
at-032,XUTboDILPqOYaEfR6yuPww,t-003
at-033,XUTboDILPqOYaEfR6yuPww,t-004
at-034,XUTboDILPqOYaEfR6yuPww,t-005
at-035,4Wwzk7wkTNZ8Gy0rekLPeQ,t-001
at-036,4Wwzk7wkTNZ8Gy0rekLPeQ,t-005
at-037,DXnonn36Ug-YP9-xE4oIeA,t-001
at-038,DXnonn36Ug-YP9-xE4oIeA,t-002
at-039,DXnonn36Ug-YP9-xE4oIeA,t-003
at-040,DXnonn36Ug-YP9-xE4oIeA,t-005
at-041,DTW52w2NNaAf21pwlNSwHg,t-001
at-042,DTW52w2NNaAf21pwlNSwHg,t-003
at-043,DTW52w2NNaAf21pwlNSwHg,t-005
at-044,DTW52w2NNaAf21pwlNSwHg,t-006
