Schedule,hours_id
9:30-19:0,h-001
10:0-17:0,h-002
11:0-17:0,h-003
0:0-0:0,h-004
8:0-16:0,h-005
9:0-18:0,h-006
9:0-19:0,h-007
9:0-20:0,h-008
9:0-17:0,h-009
12:0-20:0,h-010
10:0-18:0,h-011
9:0-19:30,h-012
8:0-20:0,h-013
8:0-17:0,h-014
9:30-17:30,h-015
10:0-14:0,h-016
10:0-21:0,h-017
12:0-19:0,h-018
10:0-18:30,h-019
9:30-18:0,h-020
9:30-19:30,h-021
9:30-18:30,h-022
11:0-16:30,h-023
11:0-18:0,h-024
10:0-19:30,h-025
10:0-19:0,h-026
9:30-20:0,h-027
0:0-0:30,h-028
11:0-16:0,h-029
7:0-20:0,h-030
9:0-18:30,h-031
10:0-20:0,h-032
10:0-16:0,h-033
10:0-17:30,h-034
9:30-12:0,h-035
10:30-19:30,h-036
9:0-20:30,h-037
10:30-17:0,h-038
9:0-15:0,h-039
9:0-16:0,h-040
12:0-17:0,h-041
11:30-19:0,h-042
10:0-15:0,h-043
9:30-17:0,h-044
7:0-19:0,h-045
7:0-15:0,h-046
9:0-21:0,h-047
9:0-7:0,h-048
7:0-21:0,h-049
7:0-18:0,h-050
9:45-19:0,h-051
8:0-18:0,h-052
8:0-15:0,h-053
14:0-20:0,h-054
13:0-20:0,h-055
10:30-16:30,h-056
10:0-20:30,h-057
11:0-19:0,h-058
12:0-17:30,h-059
11:30-17:0,h-060
9:30-16:0,h-061
8:0-21:0,h-062
12:0-18:0,h-063
11:0-20:30,h-064
8:30-21:0,h-065
8:30-20:0,h-066
11:0-20:0,h-067
11:0-21:0,h-068
8:0-22:0,h-069
11:0-17:30,h-070
10:30-17:30,h-071
10:0-22:0,h-072
8:30-19:0,h-073
8:30-17:0,h-074
7:30-17:0,h-075
11:30-17:15,h-076
9:0-18:45,h-077
8:30-16:0,h-078
9:30-9:45,h-079
12:0-16:0,h-080
12:0-19:30,h-081
10:0-10:30,h-082
9:30-13:0,h-083
8:30-18:0,h-084
9:0-12:0,h-085
10:30-18:0,h-086
14:0-19:0,h-087
9:30-18:45,h-088
10:30-18:30,h-089
7:0-16:0,h-090
7:0-12:0,h-091
9:45-18:0,h-092
9:45-17:0,h-093
9:0-21:30,h-094
10:0-15:30,h-095
11:0-15:0,h-096
10:30-20:0,h-097
9:0-13:0,h-098
8:30-19:30,h-099
13:0-16:0,h-100
10:15-18:0,h-101
10:15-19:0,h-102
10:15-17:0,h-103
12:0-21:0,h-104
11:30-16:30,h-105
9:0-17:30,h-106
9:0-10:0,h-107
9:0-14:0,h-108
9:0-23:0,h-109
9:0-1:0,h-110
8:0-14:0,h-111
8:0-19:0,h-112
11:0-19:30,h-113
10:0-21:30,h-114
9:30-15:0,h-115
9:30-21:0,h-116
10:30-19:0,h-117
7:0-22:0,h-118
7:0-14:0,h-119
